#SampleID	Fn_Cp	GAS_Reads	GAS_Rel	FN_pos	GAS_bin	GAS_pos	Cat
o4056	0	0	0	FALSE	negative	FALSE	Both neg
o4057	0	0	0	FALSE	negative	FALSE	Both neg
o4059	0	0	0	FALSE	negative	FALSE	Both neg
o4062	0	0	0	FALSE	negative	FALSE	Both neg
o4063	0	0	0	FALSE	negative	FALSE	Both neg
o4068	0	0	0	FALSE	negative	FALSE	Both neg
o4069	0	0	0	FALSE	negative	FALSE	Both neg
o4071	0	0	0	FALSE	negative	FALSE	Both neg
o4072	0	0	0	FALSE	negative	FALSE	Both neg
o4073	0	0	0	FALSE	negative	FALSE	Both neg
o4075	0	0	0	FALSE	negative	FALSE	Both neg
o4076	0	0	0	FALSE	negative	FALSE	Both neg
o4078	0	0	0	FALSE	negative	FALSE	Both neg
o4080	0	0	0	FALSE	negative	FALSE	Both neg
o4081	0	0	0	FALSE	negative	FALSE	Both neg
o4082	0	0	0	FALSE	negative	FALSE	Both neg
o4084	0	0	0	FALSE	negative	FALSE	Both neg
o4085	0	0	0	FALSE	negative	FALSE	Both neg
o4086	0	0	0	FALSE	negative	FALSE	Both neg
o4087	0	0	0	FALSE	negative	FALSE	Both neg
o4088	0	0	0	FALSE	negative	FALSE	Both neg
o4089	0	0	0	FALSE	negative	FALSE	Both neg
o4090	0	0	0	FALSE	negative	FALSE	Both neg
o4091	0	0	0	FALSE	negative	FALSE	Both neg
o4092	0	0	0	FALSE	negative	FALSE	Both neg
o4094	0	0	0	FALSE	negative	FALSE	Both neg
o4095	0	0	0	FALSE	negative	FALSE	Both neg
o4096	0	0	0	FALSE	negative	FALSE	Both neg
o4097	0	0	0	FALSE	negative	FALSE	Both neg
o4099	0	0	0	FALSE	negative	FALSE	Both neg
o4100	0	0	0	FALSE	negative	FALSE	Both neg
o4101	0	0	0	FALSE	negative	FALSE	Both neg
o4102	0	0	0	FALSE	negative	FALSE	Both neg
o4103	0	0	0	FALSE	negative	FALSE	Both neg
o4104	0	0	0	FALSE	negative	FALSE	Both neg
o4106	0	0	0	FALSE	negative	FALSE	Both neg
o4108	0	0	0	FALSE	negative	FALSE	Both neg
o4109	0	0	0	FALSE	negative	FALSE	Both neg
o4110	0	0	0	FALSE	negative	FALSE	Both neg
o4112	0	0	0	FALSE	negative	FALSE	Both neg
o4113	0	0	0	FALSE	negative	FALSE	Both neg
o4115	0	0	0	FALSE	negative	FALSE	Both neg
o4116	0	0	0	FALSE	negative	FALSE	Both neg
o4119	0	0	0	FALSE	negative	FALSE	Both neg
o4120	0	0	0	FALSE	negative	FALSE	Both neg
o4121	0	0	0	FALSE	negative	FALSE	Both neg
o4122	0	0	0	FALSE	negative	FALSE	Both neg
o4123	0	0	0	FALSE	negative	FALSE	Both neg
o4124	0	0	0	FALSE	negative	FALSE	Both neg
o4125	0	0	0	FALSE	negative	FALSE	Both neg
o4126	0	0	0	FALSE	negative	FALSE	Both neg
o4128	0	0	0	FALSE	negative	FALSE	Both neg
o4129	0	0	0	FALSE	negative	FALSE	Both neg
o4130	0	0	0	FALSE	negative	FALSE	Both neg
o4131	0	0	0	FALSE	negative	FALSE	Both neg
o4132	0	0	0	FALSE	negative	FALSE	Both neg
o4134	0	0	0	FALSE	negative	FALSE	Both neg
o4135	0	0	0	FALSE	negative	FALSE	Both neg
o4139	0	0	0	FALSE	negative	FALSE	Both neg
o4140	0	0	0	FALSE	negative	FALSE	Both neg
o4141	0	0	0	FALSE	negative	FALSE	Both neg
o4144	0	0	0	FALSE	negative	FALSE	Both neg
o4145	0	0	0	FALSE	negative	FALSE	Both neg
o4146	0	0	0	FALSE	negative	FALSE	Both neg
o4148	0	0	0	FALSE	negative	FALSE	Both neg
o4149	0	0	0	FALSE	negative	FALSE	Both neg
o4151	0	0	0	FALSE	negative	FALSE	Both neg
o4152	0	0	0	FALSE	negative	FALSE	Both neg
o4153	0	0	0	FALSE	negative	FALSE	Both neg
o4154	0	0	0	FALSE	negative	FALSE	Both neg
o4155	0	0	0	FALSE	negative	FALSE	Both neg
o4157	0	0	0	FALSE	negative	FALSE	Both neg
o4158	0	0	0	FALSE	negative	FALSE	Both neg
o4159	0	0	0	FALSE	negative	FALSE	Both neg
o4160	0	0	0	FALSE	negative	FALSE	Both neg
o4161	0	0	0	FALSE	negative	FALSE	Both neg
o4162	0	0	0	FALSE	negative	FALSE	Both neg
o4164	0	0	0	FALSE	negative	FALSE	Both neg
o4165	0	0	0	FALSE	negative	FALSE	Both neg
o4166	0	0	0	FALSE	negative	FALSE	Both neg
o4167	0	0	0	FALSE	negative	FALSE	Both neg
o4170	0	0	0	FALSE	negative	FALSE	Both neg
o4171	0	0	0	FALSE	negative	FALSE	Both neg
o4172	0	0	0	FALSE	negative	FALSE	Both neg
o4173	0	0	0	FALSE	negative	FALSE	Both neg
o4175	0	0	0	FALSE	negative	FALSE	Both neg
o4176	0	0	0	FALSE	negative	FALSE	Both neg
o4178	0	0	0	FALSE	negative	FALSE	Both neg
o4179	0	0	0	FALSE	negative	FALSE	Both neg
o4180	0	0	0	FALSE	negative	FALSE	Both neg
o4181	0	0	0	FALSE	negative	FALSE	Both neg
o4182	0	0	0	FALSE	negative	FALSE	Both neg
o4183	0	0	0	FALSE	negative	FALSE	Both neg
o4184	0	0	0	FALSE	negative	FALSE	Both neg
o4185	0	0	0	FALSE	negative	FALSE	Both neg
o4186	0	0	0	FALSE	negative	FALSE	Both neg
o4187	0	0	0	FALSE	negative	FALSE	Both neg
o4188	0	0	0	FALSE	negative	FALSE	Both neg
o4189	0	0	0	FALSE	negative	FALSE	Both neg
o4190	0	0	0	FALSE	negative	FALSE	Both neg
o4191	0	0	0	FALSE	negative	FALSE	Both neg
o4193	0	0	0	FALSE	negative	FALSE	Both neg
o4195	0	0	0	FALSE	negative	FALSE	Both neg
o4197	0	0	0	FALSE	negative	FALSE	Both neg
o4198	0	0	0	FALSE	negative	FALSE	Both neg
o4199	0	0	0	FALSE	negative	FALSE	Both neg
o4200	0	0	0	FALSE	negative	FALSE	Both neg
o4202	0	0	0	FALSE	negative	FALSE	Both neg
o4203	0	0	0	FALSE	negative	FALSE	Both neg
o4206	0	0	0	FALSE	negative	FALSE	Both neg
o4207	0	0	0	FALSE	negative	FALSE	Both neg
o4208	0	0	0	FALSE	negative	FALSE	Both neg
o4209	0	0	0	FALSE	negative	FALSE	Both neg
o4210	0	0	0	FALSE	negative	FALSE	Both neg
o4211	0	0	0	FALSE	negative	FALSE	Both neg
o4212	0	0	0	FALSE	negative	FALSE	Both neg
o4213	0	0	0	FALSE	negative	FALSE	Both neg
o4214	0	0	0	FALSE	negative	FALSE	Both neg
o4216	0	0	0	FALSE	negative	FALSE	Both neg
o4217	0	0	0	FALSE	negative	FALSE	Both neg
o4218	0	0	0	FALSE	negative	FALSE	Both neg
o4220	0	0	0	FALSE	negative	FALSE	Both neg
o4221	0	0	0	FALSE	negative	FALSE	Both neg
